                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9841,                 2.6479,                 2.6918,                0.59131,                0.26847,                0.25334,                0.11739,                 1.9776,                  1.521,                 1.7875,             0.00047548,             0.00047548,             0.00047548
                      1,                 1.8958,                 1.4429,                 1.6076,                0.91238,                0.21811,                0.34166,                0.16073,                 1.7593,                 1.3336,                 1.5089,             0.00094239,             0.00094239,             0.00094239
                      2,                 1.6799,                  1.231,                 1.4408,                0.74167,                0.33273,                0.40817,                0.21033,                  1.555,                 1.1085,                 1.4041,              0.0013999,              0.0013999,              0.0013999
                      3,                 1.5634,                 1.1229,                 1.3645,                0.40176,                0.41071,                0.40891,                0.22297,                 1.4739,                 1.0622,                 1.3313,              0.0013866,              0.0013866,              0.0013866
                      4,                 1.4536,                 1.0282,                 1.3093,                0.48618,                0.43919,                0.45018,                0.25122,                  1.354,                0.97418,                 1.2645,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.4005,                0.97894,                 1.2689,                0.57041,                 0.4546,                0.50203,                0.28253,                 1.3318,                0.94641,                 1.2624,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.3672,                 0.9548,                 1.2569,                 0.6506,                0.39495,                0.48666,                0.27079,                 1.3444,                 0.9263,                 1.2491,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.3254,                0.91498,                 1.2324,                0.60204,                0.50692,                0.54287,                0.30862,                 1.2554,                0.87561,                 1.2251,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.2912,                0.88119,                 1.2119,                0.63505,                0.50375,                0.55842,                0.32123,                 1.2017,                0.84649,                 1.1944,                0.00133,                0.00133,                0.00133
                      9,                 1.2602,                0.84153,                 1.1931,                0.62295,                0.51338,                0.56304,                0.32786,                 1.1947,                0.80894,                 1.1786,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.2382,                0.83036,                 1.1843,                0.62208,                0.52072,                0.57483,                0.33858,                  1.141,                0.79975,                 1.1654,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2311,                0.82162,                 1.1767,                0.66445,                0.54653,                0.60697,                0.36539,                 1.1387,                 0.7972,                 1.1564,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.1997,                0.79263,                 1.1606,                0.65305,                0.52606,                 0.5878,                0.34831,                 1.1444,                0.77605,                 1.1484,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.1871,                0.79537,                 1.1587,                0.66844,                0.56478,                0.62716,                0.37628,                 1.0975,                0.74722,                 1.1375,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.1785,                0.77559,                 1.1495,                0.72451,                0.55154,                0.62626,                 0.3691,                 1.1278,                0.76023,                 1.1466,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.1609,                0.76449,                 1.1389,                 0.6534,                0.53805,                0.60425,                0.35542,                 1.1187,                0.76131,                 1.1356,              0.0012309,              0.0012309,              0.0012309
