                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3521,                  3.181,                 2.9116,                 0.7643,                0.12568,                0.09609,                0.03305,                 2.5914,                 2.2992,                 2.0255,             0.00047548,             0.00047548,             0.00047548
                      1,                 2.2538,                 1.7949,                 1.7757,                 0.8746,                0.17285,                0.24667,                0.10687,                 1.9728,                 1.7547,                 1.6184,             0.00094239,             0.00094239,             0.00094239
                      2,                 1.9457,                  1.464,                 1.5528,                0.68181,                0.29749,                0.31412,                0.14993,                 1.7556,                 1.3034,                 1.4514,              0.0013999,              0.0013999,              0.0013999
                      3,                  1.786,                 1.3137,                 1.4466,                0.73666,                0.30224,                0.34668,                0.17387,                 1.6466,                 1.2017,                  1.377,              0.0013866,              0.0013866,              0.0013866
                      4,                 1.6547,                 1.2057,                 1.3714,                0.48727,                0.34667,                0.37524,                0.19422,                 1.5318,                 1.1487,                 1.3258,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.5975,                 1.1449,                 1.3298,                0.43521,                0.40312,                0.40756,                0.21563,                 1.4751,                 1.0523,                 1.2989,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.5259,                 1.0866,                 1.2957,                0.55319,                0.39453,                0.42898,                0.22674,                 1.4649,                   1.02,                 1.2961,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.4701,                 1.0291,                 1.2628,                0.79675,                0.35089,                0.45359,                0.25069,                 1.3779,                0.98112,                 1.2399,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.4264,                 1.0017,                 1.2418,                0.83314,                0.36818,                0.48014,                0.26337,                 1.3434,                0.94029,                 1.2162,                0.00133,                0.00133,                0.00133
                      9,                 1.3808,                0.96093,                 1.2147,                0.46761,                0.47423,                0.47494,                0.27083,                 1.3028,                0.90399,                 1.2009,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.3537,                0.93245,                 1.2014,                0.60276,                0.40398,                0.49637,                0.28449,                 1.2819,                0.86804,                  1.197,              0.0013017,              0.0013017,              0.0013017
