                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3723,                 3.2015,                 2.9438,                0.74527,                0.04606,                0.04338,                0.01921,                  2.564,                 5.1278,                 2.1194,             0.00047548,             0.00047548,             0.00047548
                      1,                 2.2701,                 1.8053,                 1.8104,                 0.6547,                0.20656,                0.22475,                0.10485,                 2.0773,                 1.5658,                  1.706,             0.00094239,             0.00094239,             0.00094239
                      2,                 1.9387,                 1.4556,                 1.5755,                0.68137,                0.30063,                0.32587,                0.15933,                 1.7369,                 1.3509,                 1.4784,              0.0013999,              0.0013999,              0.0013999
                      3,                 1.7429,                 1.2756,                 1.4442,                0.74454,                 0.3053,                0.35626,                0.19054,                 1.5819,                 1.2613,                 1.3741,              0.0013866,              0.0013866,              0.0013866
                      4,                 1.6092,                 1.1586,                 1.3595,                0.43884,                0.40535,                0.39914,                0.21009,                 1.5101,                 1.1201,                  1.323,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.5304,                 1.0995,                 1.3125,                0.50467,                0.42363,                0.43164,                0.23621,                  1.417,                0.99707,                 1.2637,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.4834,                  1.048,                 1.2867,                0.80203,                0.36144,                 0.4528,                0.24877,                 1.3732,                 1.0124,                 1.2633,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.4058,                0.98523,                  1.245,                0.82244,                0.36036,                0.46775,                0.26427,                 1.3205,                0.93479,                 1.2198,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.3751,                0.95369,                 1.2304,                0.82853,                0.37117,                0.49591,                0.27375,                 1.3398,                0.90484,                 1.2185,                0.00133,                0.00133,                0.00133
                      9,                 1.3304,                0.92028,                 1.2042,                0.52162,                0.50093,                 0.5116,                 0.2885,                 1.2616,                0.85584,                  1.184,              0.0013158,              0.0013158,              0.0013158
                     10,                  1.305,                0.89952,                 1.1892,                0.50234,                0.50003,                0.50935,                0.28742,                 1.2406,                0.84774,                  1.186,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2993,                0.88442,                 1.1879,                0.61355,                0.49925,                0.53827,                0.30888,                 1.2148,                0.82562,                 1.1658,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2709,                0.86096,                 1.1702,                 0.5233,                0.53709,                0.54791,                0.29801,                 1.2448,                 0.8288,                 1.1737,              0.0012734,              0.0012734,              0.0012734
                     13,                  1.249,                0.84301,                 1.1599,                0.78744,                0.40661,                0.53844,                0.31446,                 1.1839,                0.87183,                 1.1543,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.2265,                0.81852,                 1.1548,                0.62226,                 0.5205,                0.57038,                0.32568,                 1.1865,                0.79419,                 1.1492,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.2143,                0.80599,                 1.1384,                0.62028,                0.56155,                0.57802,                0.34117,                 1.1459,                 0.8058,                 1.1291,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1979,                0.79576,                  1.134,                0.61039,                0.54975,                0.60113,                0.34931,                 1.1577,                0.74836,                 1.1387,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.1732,                0.78494,                 1.1263,                0.68183,                0.53417,                0.60779,                0.36403,                 1.1187,                0.73828,                 1.1127,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.1687,                0.76967,                 1.1182,                 0.7317,                0.54454,                0.62887,                0.37125,                 1.1348,                0.74876,                 1.1178,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.1584,                0.76287,                 1.1112,                0.70104,                0.56418,                0.62752,                0.37673,                 1.0845,                0.72411,                 1.0982,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.1484,                 0.7562,                 1.1067,                0.70278,                0.58631,                0.63551,                 0.3745,                 1.1146,                 0.7219,                 1.1041,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.1443,                0.74725,                  1.107,                0.71745,                0.56368,                0.63195,                0.37654,                 1.0954,                  0.718,                 1.0968,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.1299,                0.73927,                 1.0975,                0.70031,                0.57734,                0.65254,                0.39277,                 1.0691,                 0.6961,                 1.0889,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.1086,                0.72507,                 1.0909,                0.74062,                0.60385,                0.67717,                0.41508,                 1.0621,                0.67544,                 1.0834,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.1031,                0.71716,                 1.0895,                0.73676,                0.60176,                0.67644,                0.41398,                 1.0463,                0.67617,                 1.0821,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.0949,                0.70587,                  1.079,                 0.7692,                0.57588,                0.67273,                0.40964,                 1.0646,                0.68742,                 1.0874,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.0806,                0.69957,                 1.0741,                0.74278,                0.58779,                0.67143,                0.41374,                 1.0333,                0.66137,                 1.0718,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.0765,                0.69465,                 1.0772,                0.74217,                0.58595,                0.67249,                 0.4144,                 1.0324,                0.66966,                 1.0707,              0.0010612,              0.0010612,              0.0010612
                     28,                  1.069,                0.69236,                 1.0723,                0.73845,                 0.6043,                0.67783,                0.42428,                 1.0378,                0.65511,                 1.0718,               0.001047,               0.001047,               0.001047
                     29,                 1.0663,                0.68945,                 1.0702,                0.72857,                0.58865,                0.66407,                0.40998,                  1.023,                0.66422,                 1.0663,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.0588,                0.68273,                 1.0662,                0.74679,                0.60979,                0.69719,                0.42709,                 1.0233,                0.65825,                 1.0654,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.0532,                 0.6722,                 1.0606,                 0.7766,                0.63024,                0.72411,                0.44056,                 1.0138,                0.62108,                 1.0633,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.0419,                 0.6622,                 1.0585,                0.77316,                0.62993,                0.71869,                 0.4442,                  1.012,                0.63317,                 1.0583,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.0393,                0.66347,                 1.0607,                0.77992,                0.63769,                0.72229,                0.44477,                0.99401,                0.61695,                 1.0525,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.0316,                0.65994,                 1.0529,                0.80995,                0.62476,                 0.7263,                0.45198,                0.99423,                0.62004,                  1.051,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.0258,                0.65158,                  1.055,                0.79887,                0.64076,                0.73668,                0.45811,                0.99026,                0.61049,                 1.0481,               0.000948,               0.000948,               0.000948
                     36,                 1.0175,                0.64569,                 1.0457,                0.80591,                0.64603,                0.74002,                0.46654,                0.97748,                0.60214,                  1.047,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.0142,                0.64191,                 1.0475,                0.79304,                0.63181,                 0.7324,                0.45395,                0.98061,                0.59777,                  1.042,              0.0009197,              0.0009197,              0.0009197
                     38,                  1.005,                0.64047,                 1.0414,                0.80337,                 0.6481,                0.73712,                0.45611,                0.98656,                0.61487,                 1.0489,             0.00090556,             0.00090556,             0.00090556
                     39,                0.99805,                0.63117,                 1.0407,                0.83082,                0.64258,                0.74892,                0.47708,                0.95232,                 0.5842,                 1.0354,             0.00089141,             0.00089141,             0.00089141
                     40,                0.99868,                0.63411,                  1.038,                0.81163,                0.63803,                0.74378,                0.46984,                0.95728,                0.58946,                 1.0342,             0.00087726,             0.00087726,             0.00087726
                     41,                0.99823,                0.62753,                 1.0341,                 0.8591,                0.64948,                0.76306,                 0.4828,                0.95449,                0.58029,                 1.0333,             0.00086312,             0.00086312,             0.00086312
                     42,                0.99605,                0.62731,                  1.038,                0.80491,                0.68388,                0.76274,                0.48597,                0.94434,                0.57368,                 1.0315,             0.00084897,             0.00084897,             0.00084897
                     43,                0.98097,                0.61873,                 1.0296,                0.84224,                0.65845,                0.76373,                0.48359,                0.95649,                0.57943,                 1.0378,             0.00083482,             0.00083482,             0.00083482
                     44,                0.97816,                0.61474,                 1.0226,                0.82067,                 0.6608,                0.76271,                 0.4884,                0.94327,                0.57288,                 1.0288,             0.00082067,             0.00082067,             0.00082067
                     45,                0.97789,                0.61417,                 1.0279,                0.80342,                 0.6907,                0.76749,                0.48823,                0.93624,                0.57314,                 1.0265,             0.00080653,             0.00080653,             0.00080653
                     46,                0.97058,                0.60948,                 1.0264,                0.82331,                0.68553,                0.77551,                 0.4986,                0.93762,                0.56437,                 1.0275,             0.00079238,             0.00079238,             0.00079238
                     47,                0.95958,                 0.5984,                 1.0182,                0.82041,                0.69166,                0.78176,                0.50387,                0.92897,                0.55728,                 1.0193,             0.00077823,             0.00077823,             0.00077823
                     48,                0.95889,                 0.5986,                 1.0205,                 0.8317,                0.67766,                0.78362,                0.50321,                  0.925,                0.55701,                 1.0215,             0.00076409,             0.00076409,             0.00076409
                     49,                0.95471,                0.59795,                 1.0212,                0.84078,                0.67747,                0.78214,                0.50696,                0.92034,                0.55739,                 1.0188,             0.00074994,             0.00074994,             0.00074994
                     50,                0.95953,                0.59704,                 1.0207,                 0.8533,                0.69135,                0.79112,                0.51494,                0.91342,                0.55304,                 1.0141,             0.00073579,             0.00073579,             0.00073579
                     51,                0.94724,                0.59019,                 1.0127,                 0.8527,                0.68309,                0.78894,                0.50458,                0.91963,                0.55201,                 1.0172,             0.00072164,             0.00072164,             0.00072164
                     52,                0.94541,                0.58964,                 1.0136,                0.84598,                0.69304,                0.79406,                0.51148,                0.91724,                0.54667,                  1.016,              0.0007075,              0.0007075,              0.0007075
                     53,                0.93529,                0.57755,                 1.0061,                0.83882,                0.70306,                 0.7971,                0.51824,                0.90753,                0.54394,                 1.0122,             0.00069335,             0.00069335,             0.00069335
                     54,                0.93833,                0.58349,                 1.0107,                0.85091,                0.69303,                0.79263,                0.51347,                 0.9041,                0.54562,                 1.0105,              0.0006792,              0.0006792,              0.0006792
                     55,                0.93121,                0.57881,                 1.0065,                0.84466,                0.70705,                0.79929,                0.51744,                0.90428,                0.53962,                 1.0127,             0.00066506,             0.00066506,             0.00066506
                     56,                0.92738,                0.57342,                 1.0012,                0.85418,                0.70617,                 0.8076,                0.52249,                0.89403,                0.53025,                 1.0071,             0.00065091,             0.00065091,             0.00065091
                     57,                0.92206,                0.56614,                 0.9997,                0.87807,                0.69883,                0.80915,                0.52623,                0.89401,                0.53254,                 1.0075,             0.00063676,             0.00063676,             0.00063676
                     58,                0.91991,                0.56982,                 1.0003,                0.83747,                0.71274,                0.80205,                0.52746,                0.89612,                0.53198,                 1.0081,             0.00062262,             0.00062262,             0.00062262
                     59,                0.91422,                 0.5593,                0.99828,                0.85656,                0.70753,                0.80715,                0.52811,                0.89317,                0.53068,                  1.007,             0.00060847,             0.00060847,             0.00060847
                     60,                0.91323,                0.56161,                0.99932,                0.85867,                0.70864,                0.81073,                0.52938,                 0.8917,                0.52776,                 1.0057,             0.00059432,             0.00059432,             0.00059432
                     61,                0.90702,                0.55644,                0.99599,                0.86827,                0.72641,                0.81821,                0.53376,                0.88072,                0.51863,                 1.0002,             0.00058017,             0.00058017,             0.00058017
                     62,                0.90343,                0.55468,                0.99375,                0.85105,                0.72654,                0.81185,                 0.5304,                0.88384,                0.52262,                  1.001,             0.00056603,             0.00056603,             0.00056603
                     63,                0.90171,                 0.5516,                0.98976,                0.86559,                0.71371,                0.81132,                0.52874,                0.88329,                0.52033,                 1.0017,             0.00055188,             0.00055188,             0.00055188
                     64,                0.89136,                0.54878,                0.99019,                0.86178,                 0.7321,                0.81504,                0.53522,                0.87515,                0.51526,                0.99775,             0.00053773,             0.00053773,             0.00053773
                     65,                0.89838,                0.54869,                0.99398,                0.86335,                0.71167,                0.81603,                0.53559,                0.87744,                 0.5179,                 1.0009,             0.00052359,             0.00052359,             0.00052359
                     66,                0.88898,                0.54641,                0.98871,                0.85781,                0.73227,                0.81867,                0.53873,                0.87376,                0.51291,                0.99595,             0.00050944,             0.00050944,             0.00050944
                     67,                0.88266,                0.54171,                 0.9856,                0.84727,                0.73436,                0.82077,                0.54063,                0.86794,                0.51013,                0.99536,             0.00049529,             0.00049529,             0.00049529
                     68,                0.88721,                0.54806,                 0.9884,                0.86902,                0.72202,                0.81749,                0.53804,                0.86657,                0.50917,                0.99442,             0.00048114,             0.00048114,             0.00048114
