                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4158,                 3.2484,                 2.9516,                0.74535,                0.07143,                0.05908,                0.02042,                 2.8923,                 2.3975,                 2.3554,             0.00047548,             0.00047548,             0.00047548
                      1,                 2.3034,                 1.8485,                 1.8117,                0.62331,                0.13241,                0.14815,                0.05703,                 2.5359,                 2.3134,                 2.0126,             0.00094239,             0.00094239,             0.00094239
                      2,                 1.9816,                 1.5028,                 1.5836,                 0.6187,                0.18249,                0.18766,                0.06586,                 2.5053,                 1.9687,                  1.874,              0.0013999,              0.0013999,              0.0013999
                      3,                 1.7894,                 1.3256,                 1.4554,                0.75448,                0.28392,                0.33402,                0.16594,                  1.782,                 1.3548,                 1.4914,              0.0013866,              0.0013866,              0.0013866
                      4,                  1.669,                 1.2108,                  1.382,                0.64166,                0.17182,                0.20315,                0.07772,                 2.4609,                 2.0678,                 1.7753,              0.0013866,              0.0013866,              0.0013866
                      5,                  1.596,                 1.1465,                  1.338,                0.41352,                0.27345,                0.28181,                0.14515,                 1.8013,                 1.6284,                 1.4944,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.5389,                 1.1026,                 1.3086,                0.55251,                0.39217,                0.42797,                0.22421,                 1.5471,                 1.0524,                 1.3436,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.4741,                 1.0381,                  1.274,                0.44793,                0.26485,                 0.2945,                0.15008,                 1.8631,                 1.7645,                 1.4978,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.4352,                 1.0084,                 1.2542,                0.48992,                 0.3831,                0.39716,                0.18865,                 1.6898,                 1.2264,                 1.3972,                0.00133,                0.00133,                0.00133
                      9,                 1.3947,                0.97041,                 1.2304,                0.48203,                0.42115,                0.42871,                0.22468,                 1.5513,                 1.1296,                 1.3292,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.3631,                0.94871,                 1.2122,                0.53671,                0.42354,                0.44164,                0.23765,                 1.4487,                 1.0084,                 1.2638,              0.0013017,              0.0013017,              0.0013017
