                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4718,                 3.3584,                 3.0263,                0.79091,                0.11096,                0.10804,                 0.0368,                 2.5994,                  2.287,                 2.1083,             0.00047548,             0.00047548,             0.00047548
                      1,                 2.3686,                 1.9276,                 1.8709,                0.57119,                0.20635,                0.18575,                0.06947,                 2.2651,                 2.0538,                 1.7571,             0.00094239,             0.00094239,             0.00094239
                      2,                 2.0794,                 1.6183,                 1.6454,                0.62284,                0.25243,                0.25098,                0.11578,                 1.8912,                  1.482,                 1.5404,              0.0013999,              0.0013999,              0.0013999
                      3,                 1.8942,                 1.4463,                   1.52,                0.64799,                0.27236,                0.28362,                 0.1377,                 1.7957,                 1.3368,                 1.4915,              0.0013866,              0.0013866,              0.0013866
                      4,                 1.7535,                 1.3213,                 1.4324,                0.40524,                 0.3235,                0.33182,                0.16827,                 1.6461,                 1.2085,                 1.3966,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.6914,                 1.2534,                  1.386,                0.44394,                0.30789,                0.33279,                 0.1654,                 1.6808,                  1.224,                 1.3887,              0.0013724,              0.0013724,              0.0013724
                      6,                  1.614,                 1.2012,                 1.3492,                0.40848,                0.37021,                0.36159,                0.19296,                 1.5198,                    1.1,                 1.3299,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.5584,                 1.1375,                 1.3157,                0.51108,                0.37692,                0.37821,                0.19793,                 1.4942,                 1.0893,                 1.3135,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.5088,                 1.0935,                 1.2923,                0.76957,                0.34325,                 0.4161,                0.22939,                 1.4212,                 1.0168,                 1.2662,                0.00133,                0.00133,                0.00133
                      9,                 1.4569,                 1.0438,                 1.2614,                0.44531,                0.40891,                0.41795,                0.23179,                 1.3839,                0.99234,                 1.2569,              0.0013158,              0.0013158,              0.0013158
