                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9754,                 2.7317,                 2.6706,                0.57853,                0.24148,                0.21839,                0.08659,                 2.2736,                 1.6629,                  1.844,             0.00047548,             0.00047548,             0.00047548
                      1,                  1.862,                 1.4456,                 1.5427,                0.42329,                0.37052,                0.37167,                0.18928,                 1.6111,                  1.242,                 1.3952,             0.00094239,             0.00094239,             0.00094239
                      2,                 1.6668,                 1.2327,                 1.3975,                0.49793,                0.40919,                0.43225,                0.21702,                 1.5231,                 1.0631,                 1.3352,              0.0013999,              0.0013999,              0.0013999
                      3,                 1.5434,                 1.1053,                 1.3273,                0.51939,                0.36788,                0.40641,                0.21968,                 1.4732,                 1.1178,                 1.3143,              0.0013866,              0.0013866,              0.0013866
                      4,                 1.4552,                 1.0332,                 1.2771,                0.51828,                0.46564,                0.46756,                0.25458,                 1.3698,                 0.9709,                 1.2671,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.4011,                0.98312,                 1.2488,                0.49684,                0.45994,                0.44413,                0.24737,                  1.343,                0.94168,                 1.2478,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.3455,                0.93602,                 1.2191,                0.77651,                0.41659,                0.53307,                0.30179,                 1.2254,                0.86852,                 1.1844,              0.0013583,              0.0013583,              0.0013583
                      7,                  1.311,                0.89903,                 1.2021,                0.54855,                0.52084,                0.53731,                0.30338,                  1.261,                0.86456,                 1.1948,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.2708,                 0.8749,                 1.1812,                0.59431,                0.51007,                0.54888,                 0.3157,                 1.2267,                0.88281,                 1.1817,                0.00133,                0.00133,                0.00133
                      9,                  1.257,                0.85133,                 1.1687,                0.64799,                0.53303,                0.58734,                0.33705,                 1.2274,                0.81722,                 1.1862,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.2263,                0.82496,                 1.1519,                0.64555,                0.54103,                0.59499,                0.34471,                  1.187,                0.79089,                 1.1649,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2153,                0.81607,                 1.1458,                 0.6055,                0.51033,                0.56014,                0.33105,                  1.167,                0.79093,                 1.1495,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.1991,                0.80171,                 1.1357,                0.64912,                0.55096,                0.60343,                0.35734,                 1.1532,                0.79369,                 1.1356,              0.0012734,              0.0012734,              0.0012734
