                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0131,                 2.7386,                 2.7161,                0.62018,                0.24596,                0.23725,                0.10683,                 2.0299,                  1.628,                 1.8094,             0.00047548,             0.00047548,             0.00047548
                      1,                 1.9068,                  1.463,                  1.632,                0.38812,                0.34346,                0.34386,                0.16829,                 1.6599,                 1.4286,                 1.4928,             0.00094239,             0.00094239,             0.00094239
                      2,                 1.6837,                 1.2462,                 1.4555,                0.77241,                0.32033,                0.38074,                0.18396,                 1.6221,                  1.234,                  1.421,              0.0013999,              0.0013999,              0.0013999
                      3,                 1.5529,                 1.1287,                 1.3795,                0.75107,                0.35523,                  0.428,                0.22338,                 1.4372,                  1.166,                 1.3461,              0.0013866,              0.0013866,              0.0013866
                      4,                 1.4788,                 1.0531,                 1.3283,                0.47068,                0.45758,                0.45086,                0.24045,                 1.3974,                0.97238,                 1.3171,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.4168,                 1.0017,                 1.2882,                0.51125,                0.46066,                0.47194,                0.25572,                 1.3731,                0.97607,                 1.2995,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.3677,                0.95878,                 1.2622,                0.78554,                0.38708,                0.49116,                0.27146,                 1.3148,                0.91513,                 1.2569,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.3282,                0.91446,                 1.2385,                0.51673,                0.50537,                0.51347,                0.28317,                 1.2642,                 0.8887,                 1.2315,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.3026,                 0.8959,                 1.2265,                0.56188,                0.47755,                0.51051,                0.29572,                 1.2719,                0.89319,                 1.2469,                0.00133,                0.00133,                0.00133
                      9,                 1.2767,                0.87285,                 1.2068,                0.61905,                0.49541,                0.54682,                0.32023,                 1.1976,                0.84009,                 1.1928,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.2512,                0.84695,                 1.1907,                0.63533,                0.53704,                0.57787,                0.32725,                 1.1892,                0.79763,                 1.1915,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2458,                0.83867,                 1.1884,                0.57548,                 0.5338,                0.57998,                0.33507,                 1.1746,                0.77731,                 1.1808,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2232,                 0.8179,                 1.1742,                0.61988,                0.51592,                0.57293,                0.33149,                 1.1708,                0.83204,                 1.1799,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.2047,                0.80182,                 1.1671,                0.76824,                0.43938,                0.58096,                0.34031,                 1.1913,                0.80621,                 1.1776,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.1983,                0.78562,                 1.1627,                0.68686,                0.46091,                0.53797,                0.30666,                 1.1857,                0.82267,                 1.1835,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.1775,                0.77857,                  1.153,                0.68777,                0.53913,                0.61837,                0.36849,                 1.1347,                0.74829,                 1.1517,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1696,                0.76848,                 1.1461,                 0.7079,                0.56268,                0.62361,                 0.3632,                 1.1463,                0.74395,                 1.1583,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.1452,                0.75503,                 1.1408,                0.68361,                 0.5426,                0.59913,                0.35033,                 1.1342,                0.75031,                   1.15,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.1478,                0.74692,                  1.136,                0.67258,                0.56297,                 0.6105,                 0.3638,                 1.1022,                0.73894,                 1.1451,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.1374,                0.73691,                 1.1259,                0.69364,                0.56912,                0.63303,                0.37167,                 1.1198,                0.72683,                 1.1549,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.1296,                0.73811,                 1.1232,                0.72829,                0.57988,                0.66882,                0.39827,                  1.087,                0.71428,                  1.126,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.1127,                0.71704,                 1.1174,                0.76094,                0.57549,                0.66571,                 0.4005,                 1.0876,                0.71006,                 1.1259,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.1194,                0.72018,                 1.1179,                0.80407,                 0.5336,                0.66372,                0.39118,                 1.0858,                0.70348,                 1.1186,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.1031,                0.71312,                  1.109,                0.77686,                0.57974,                0.67576,                0.39803,                 1.1133,                0.69371,                 1.1241,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.0874,                0.69506,                 1.1035,                0.76066,                0.58032,                 0.6737,                0.40711,                 1.0562,                0.69254,                 1.1168,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.0827,                0.69349,                 1.1033,                0.73064,                0.59282,                0.66432,                0.40406,                 1.0699,                0.69699,                   1.12,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.0834,                0.69547,                 1.0984,                0.75778,                0.60581,                0.68748,                0.41638,                 1.0413,                0.67266,                 1.1053,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.0774,                0.68439,                 1.0917,                0.75237,                0.61317,                0.69935,                0.42301,                 1.0392,                0.67425,                 1.1003,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.0719,                0.68203,                  1.093,                 0.7247,                0.62564,                0.69809,                0.42603,                 1.0361,                0.65284,                  1.102,               0.001047,               0.001047,               0.001047
                     29,                 1.0587,                0.66839,                 1.0909,                0.77923,                0.61117,                 0.7012,                  0.434,                 1.0271,                0.65247,                 1.0929,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.0591,                 0.6688,                 1.0877,                0.74446,                0.61365,                0.68589,                0.41817,                  1.038,                0.66163,                 1.0965,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.0532,                0.66764,                 1.0841,                0.75682,                0.62764,                0.70234,                0.42352,                 1.0578,                0.66053,                 1.1027,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.0358,                0.65346,                 1.0777,                0.80126,                 0.6205,                 0.7085,                 0.4342,                 1.0369,                0.65339,                  1.092,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.0382,                0.65283,                  1.075,                0.78589,                0.63584,                0.72375,                0.44759,                 1.0079,                0.62372,                 1.0793,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.0288,                0.64771,                 1.0724,                0.77392,                0.60719,                0.70132,                 0.4318,                 1.0172,                0.64678,                 1.0881,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.0288,                0.64762,                 1.0712,                0.76196,                0.61148,                0.70472,                0.43834,                  1.009,                0.66126,                 1.0796,               0.000948,               0.000948,               0.000948
                     36,                 1.0222,                0.63809,                 1.0701,                0.81408,                0.62411,                0.70883,                0.42503,                 1.0406,                0.62596,                 1.0938,             0.00093385,             0.00093385,             0.00093385
                     37,                  1.011,                0.62903,                 1.0626,                0.81712,                0.64736,                0.73582,                0.46139,                 0.9795,                0.61726,                 1.0713,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.0121,                0.63651,                 1.0623,                0.78278,                 0.6608,                0.73129,                0.44768,                 1.0194,                0.61496,                 1.0827,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.0029,                0.62625,                   1.06,                 0.7886,                0.64282,                0.72604,                0.45556,                0.97762,                0.60275,                 1.0676,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.0075,                  0.624,                 1.0607,                0.81091,                0.64273,                0.73662,                0.46055,                0.98268,                0.61862,                 1.0703,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.0058,                0.62448,                 1.0569,                0.81407,                0.64747,                0.73699,                0.45732,                0.99002,                0.60309,                 1.0744,             0.00086312,             0.00086312,             0.00086312
                     42,                0.98851,                0.61683,                 1.0517,                0.79568,                0.65439,                0.73952,                0.46276,                0.98811,                0.59944,                 1.0671,             0.00084897,             0.00084897,             0.00084897
                     43,                0.98913,                0.61179,                 1.0528,                0.81422,                0.65552,                0.74102,                0.45829,                0.99755,                0.60802,                 1.0733,             0.00083482,             0.00083482,             0.00083482
                     44,                0.99418,                0.61182,                 1.0552,                0.82502,                0.65441,                0.74894,                0.46276,                0.97454,                0.58115,                 1.0622,             0.00082067,             0.00082067,             0.00082067
                     45,                0.96974,                 0.6002,                 1.0398,                0.81905,                0.64847,                0.75198,                0.46783,                0.97325,                0.59561,                 1.0615,             0.00080653,             0.00080653,             0.00080653
                     46,                0.97435,                0.60581,                 1.0478,                0.82136,                0.66539,                0.76013,                0.47445,                0.97378,                0.58796,                 1.0604,             0.00079238,             0.00079238,             0.00079238
                     47,                0.96659,                0.59425,                 1.0399,                 0.8426,                0.64749,                0.74829,                0.46505,                 0.9782,                0.58636,                 1.0681,             0.00077823,             0.00077823,             0.00077823
                     48,                0.96851,                0.59604,                 1.0441,                0.82882,                0.67856,                0.76101,                0.46834,                0.98868,                0.57903,                 1.0658,             0.00076409,             0.00076409,             0.00076409
                     49,                0.96554,                0.59579,                 1.0399,                0.82204,                0.66875,                0.75854,                0.46541,                0.98422,                 0.5857,                 1.0651,             0.00074994,             0.00074994,             0.00074994
                     50,                0.95554,                0.58817,                  1.038,                0.81896,                0.65091,                0.74912,                0.47132,                0.95437,                0.58363,                 1.0534,             0.00073579,             0.00073579,             0.00073579
                     51,                0.95446,                0.58567,                 1.0381,                0.84738,                0.64695,                0.75232,                0.47533,                0.94699,                0.58012,                 1.0482,             0.00072164,             0.00072164,             0.00072164
                     52,                  0.955,                0.58811,                 1.0352,                0.83391,                0.66507,                0.75774,                0.47653,                 0.9669,                0.57198,                 1.0577,              0.0007075,              0.0007075,              0.0007075
                     53,                0.95255,                0.58324,                 1.0366,                0.82755,                0.66769,                0.76604,                0.48396,                0.94085,                0.56705,                 1.0487,             0.00069335,             0.00069335,             0.00069335
                     54,                 0.9479,                0.57376,                 1.0336,                 0.8487,                0.64789,                0.76175,                0.48578,                0.94303,                0.56641,                 1.0466,              0.0006792,              0.0006792,              0.0006792
                     55,                0.94228,                0.58017,                  1.029,                0.83385,                0.66113,                 0.7655,                 0.4856,                0.94699,                0.57396,                 1.0453,             0.00066506,             0.00066506,             0.00066506
