                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1047,                 3.4107,                 2.7942,                0.84013,                0.15297,                0.16257,                0.06108,                 2.4733,                 1.8635,                  2.048,             0.00047548,             0.00047548,             0.00047548
                      1,                 1.9802,                 1.6221,                 1.6464,                0.35343,                0.33787,                0.27859,                0.13252,                 1.8593,                 1.6618,                 1.5459,             0.00085759,             0.00085759,             0.00085759
                      2,                 1.7275,                 1.2765,                 1.4511,                0.42928,                0.38732,                0.35636,                0.17305,                 1.6976,                 1.2649,                 1.4229,              0.0011454,              0.0011454,              0.0011454
                      3,                 1.5838,                 1.1595,                 1.3562,                0.49892,                0.39894,                0.39273,                0.20356,                 1.5239,                 1.1191,                 1.3235,              0.0010046,              0.0010046,              0.0010046
                      4,                 1.5009,                 1.0762,                 1.3086,                0.43535,                0.43546,                0.41317,                0.21731,                 1.4794,                 1.1601,                 1.3133,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.4162,                0.99923,                 1.2607,                0.48824,                0.41434,                0.44378,                0.24268,                 1.4104,                 1.0254,                 1.2665,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.3611,                0.94449,                  1.233,                0.43746,                0.51422,                0.48199,                0.26631,                 1.3345,                0.95608,                 1.2309,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.3052,                0.90552,                 1.2034,                0.45668,                0.50121,                 0.4913,                0.26852,                 1.3168,                0.91669,                 1.2173,             0.00058017,             0.00058017,             0.00058017
                      8,                 1.2671,                0.86431,                 1.1764,                0.52353,                0.51151,                0.52532,                0.29732,                 1.2445,                0.84211,                 1.1892,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.2191,                0.83206,                 1.1569,                 0.5067,                0.51519,                0.53487,                0.30374,                 1.2112,                0.82239,                  1.162,             0.00029723,             0.00029723,             0.00029723
